2019-02-18 18:11:58,730 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6e06451e: startup date [Mon Feb 18 18:11:58 UTC 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-18 18:12:13,252 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/activemq/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-18 18:12:20,176 | INFO  | PListStore:[/opt/activemq/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-18 18:12:22,174 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:409db0fdddb5-44803-1550513540776-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-18 18:12:24,588 | INFO  | Listening for connections at: tcp://409db0fdddb5:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 18:12:24,651 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 18:12:24,797 | INFO  | Listening for connections at: amqp://409db0fdddb5:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 18:12:24,870 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 18:12:25,007 | INFO  | Listening for connections at: stomp://409db0fdddb5:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 18:12:25,051 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 18:12:25,800 | INFO  | Listening for connections at: mqtt://409db0fdddb5:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-18 18:12:25,994 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 18:12:31,220 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@63611043{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-02-18 18:12:32,942 | INFO  | Listening for connections at ws://409db0fdddb5:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-02-18 18:12:32,950 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-02-18 18:12:32,977 | INFO  | Apache ActiveMQ 5.15.6 (localhost, ID:409db0fdddb5-44803-1550513540776-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-02-18 18:12:33,040 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-02-18 18:12:49,492 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-02-18 18:12:55,829 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-18 18:12:55,877 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-02-18 18:12:56,157 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-02-18 18:12:59,782 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-02-18 18:13:01,014 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
