sepal_length,sepal_width,petal_length,petal_width,species,id
5.1,3.5,1.4,0.2,Iris-setosa,0
4.9,3.0,1.4,0.2,Iris-setosa,1
4.7,3.2,1.3,0.2,Iris-setosa,2
4.6,3.1,1.5,0.2,Iris-setosa,3
5.0,3.6,1.4,0.2,Iris-setosa,4
5.4,3.9,1.7,0.4,Iris-setosa,5
4.6,3.4,1.4,0.3,Iris-setosa,6
5.0,3.4,1.5,0.2,Iris-setosa,7
4.4,2.9,1.4,0.2,Iris-setosa,8
4.9,3.1,1.5,0.1,Iris-setosa,9
5.4,3.7,1.5,0.2,Iris-setosa,10
4.8,3.4,1.6,0.2,Iris-setosa,11
4.8,3.0,1.4,0.1,Iris-setosa,12
4.3,3.0,1.1,0.1,Iris-setosa,13
5.8,4.0,1.2,0.2,Iris-setosa,14
5.7,4.4,1.5,0.4,Iris-setosa,15
5.4,3.9,1.3,0.4,Iris-setosa,16
5.1,3.5,1.4,0.3,Iris-setosa,17
5.7,3.8,1.7,0.3,Iris-setosa,18
5.1,3.8,1.5,0.3,Iris-setosa,19
5.4,3.4,1.7,0.2,Iris-setosa,20
5.1,3.7,1.5,0.4,Iris-setosa,21
4.6,3.6,1.0,0.2,Iris-setosa,22
5.1,3.3,1.7,0.5,Iris-setosa,23
4.8,3.4,1.9,0.2,Iris-setosa,24
5.0,3.0,1.6,0.2,Iris-setosa,25
5.0,3.4,1.6,0.4,Iris-setosa,26
5.2,3.5,1.5,0.2,Iris-setosa,27
5.2,3.4,1.4,0.2,Iris-setosa,28
4.7,3.2,1.6,0.2,Iris-setosa,29
4.8,3.1,1.6,0.2,Iris-setosa,30
5.4,3.4,1.5,0.4,Iris-setosa,31
5.2,4.1,1.5,0.1,Iris-setosa,32
5.5,4.2,1.4,0.2,Iris-setosa,33
4.9,3.1,1.5,0.2,Iris-setosa,34
5.0,3.2,1.2,0.2,Iris-setosa,35
5.5,3.5,1.3,0.2,Iris-setosa,36
4.9,3.6,1.4,0.1,Iris-setosa,37
4.4,3.0,1.3,0.2,Iris-setosa,38
5.1,3.4,1.5,0.2,Iris-setosa,39
