sepal_length,sepal_width,petal_length,petal_width,species,id
5.1,3.5,1.4,0.2,NULL,0
4.9,3.0,1.4,0.2,NULL,1
4.7,3.2,1.3,0.2,NULL,2
4.6,3.1,1.5,0.2,NULL,3
5.0,3.6,1.4,0.2,NULL,4
5.4,3.9,1.7,0.4,NULL,5
4.6,3.4,1.4,0.3,NULL,6
5.0,3.4,1.5,0.2,NULL,7
4.4,2.9,1.4,0.2,NULL,8
4.9,3.1,1.5,0.1,NULL,9
5.4,3.7,1.5,0.2,NULL,10
4.8,3.4,1.6,0.2,NULL,11
4.8,3.0,1.4,0.1,NULL,12
4.3,3.0,1.1,0.1,NULL,13
5.8,4.0,1.2,0.2,NULL,14
5.7,4.4,1.5,0.4,NULL,15
5.4,3.9,1.3,0.4,NULL,16
5.1,3.5,1.4,0.3,NULL,17
5.7,3.8,1.7,0.3,NULL,18
5.1,3.8,1.5,0.3,NULL,19
5.4,3.4,1.7,0.2,NULL,20
5.1,3.7,1.5,0.4,NULL,21
4.6,3.6,1.0,0.2,NULL,22
5.1,3.3,1.7,0.5,NULL,23
4.8,3.4,1.9,0.2,NULL,24
5.0,3.0,1.6,0.2,NULL,25
5.0,3.4,1.6,0.4,NULL,26
5.2,3.5,1.5,0.2,NULL,27
5.2,3.4,1.4,0.2,NULL,28
4.7,3.2,1.6,0.2,NULL,29
4.8,3.1,1.6,0.2,NULL,30
5.4,3.4,1.5,0.4,NULL,31
5.2,4.1,1.5,0.1,NULL,32
5.5,4.2,1.4,0.2,NULL,33
4.9,3.1,1.5,0.2,NULL,34
5.0,3.2,1.2,0.2,NULL,35
5.5,3.5,1.3,0.2,NULL,36
4.9,3.6,1.4,0.1,NULL,37
4.4,3.0,1.3,0.2,NULL,38
5.1,3.4,1.5,0.2,NULL,39
5.0,3.5,1.3,0.3,NULL,40
4.5,2.3,1.3,0.3,NULL,41
4.4,3.2,1.3,0.2,NULL,42
5.0,3.5,1.6,0.6,NULL,43
5.1,3.8,1.9,0.4,NULL,44
4.8,3.0,1.4,0.3,NULL,45
5.1,3.8,1.6,0.2,NULL,46
4.6,3.2,1.4,0.2,NULL,47
5.3,3.7,1.5,0.2,NULL,48
5.0,3.3,1.4,0.2,NULL,49
7.0,3.2,4.7,1.4,NULL,50
6.4,3.2,4.5,1.5,NULL,51
6.9,3.1,4.9,1.5,NULL,52
5.5,2.3,4.0,1.3,NULL,53
6.5,2.8,4.6,1.5,NULL,54
5.7,2.8,4.5,1.3,NULL,55
6.3,3.3,4.7,1.6,NULL,56
4.9,2.4,3.3,1.0,NULL,57
6.6,2.9,4.6,1.3,NULL,58
5.2,2.7,3.9,1.4,NULL,59
5.0,2.0,3.5,1.0,NULL,60
5.9,3.0,4.2,1.5,NULL,61
6.0,2.2,4.0,1.0,NULL,62
6.1,2.9,4.7,1.4,NULL,63
5.6,2.9,3.6,1.3,NULL,64
6.7,3.1,4.4,1.4,NULL,65
5.6,3.0,4.5,1.5,NULL,66
5.8,2.7,4.1,1.0,NULL,67
6.2,2.2,4.5,1.5,NULL,68
5.6,2.5,3.9,1.1,NULL,69
5.9,3.2,4.8,1.8,NULL,70
6.1,2.8,4.0,1.3,NULL,71
6.3,2.5,4.9,1.5,NULL,72
6.1,2.8,4.7,1.2,NULL,73
6.4,2.9,4.3,1.3,NULL,74
6.6,3.0,4.4,1.4,NULL,75
6.8,2.8,4.8,1.4,NULL,76
6.7,3.0,5.0,1.7,NULL,77
6.0,2.9,4.5,1.5,NULL,78
5.7,2.6,3.5,1.0,NULL,79
5.5,2.4,3.8,1.1,NULL,80
5.5,2.4,3.7,1.0,NULL,81
5.8,2.7,3.9,1.2,NULL,82
6.0,2.7,5.1,1.6,NULL,83
5.4,3.0,4.5,1.5,NULL,84
6.0,3.4,4.5,1.6,NULL,85
6.7,3.1,4.7,1.5,NULL,86
6.3,2.3,4.4,1.3,NULL,87
5.6,3.0,4.1,1.3,NULL,88
5.5,2.5,4.0,1.3,NULL,89
5.5,2.6,4.4,1.2,NULL,90
6.1,3.0,4.6,1.4,NULL,91
5.8,2.6,4.0,1.2,NULL,92
5.0,2.3,3.3,1.0,NULL,93
5.6,2.7,4.2,1.3,NULL,94
5.7,3.0,4.2,1.2,NULL,95
5.7,2.9,4.2,1.3,NULL,96
6.2,2.9,4.3,1.3,NULL,97
5.1,2.5,3.0,1.1,NULL,98
5.7,2.8,4.1,1.3,NULL,99
6.3,3.3,6.0,2.5,NULL,100
5.8,2.7,5.1,1.9,NULL,101
7.1,3.0,5.9,2.1,NULL,102
6.3,2.9,5.6,1.8,NULL,103
6.5,3.0,5.8,2.2,NULL,104
7.6,3.0,6.6,2.1,NULL,105
4.9,2.5,4.5,1.7,NULL,106
7.3,2.9,6.3,1.8,NULL,107
6.7,2.5,5.8,1.8,NULL,108
7.2,3.6,6.1,2.5,NULL,109
6.5,3.2,5.1,2.0,NULL,110
6.4,2.7,5.3,1.9,NULL,111
6.8,3.0,5.5,2.1,NULL,112
5.7,2.5,5.0,2.0,NULL,113
5.8,2.8,5.1,2.4,NULL,114
6.4,3.2,5.3,2.3,NULL,115
6.5,3.0,5.5,1.8,NULL,116
7.7,3.8,6.7,2.2,NULL,117
7.7,2.6,6.9,2.3,NULL,118
6.0,2.2,5.0,1.5,NULL,119
6.9,3.2,5.7,2.3,NULL,120
5.6,2.8,4.9,2.0,NULL,121
7.7,2.8,6.7,2.0,NULL,122
6.3,2.7,4.9,1.8,NULL,123
6.7,3.3,5.7,2.1,NULL,124
7.2,3.2,6.0,1.8,NULL,125
6.2,2.8,4.8,1.8,NULL,126
6.1,3.0,4.9,1.8,NULL,127
6.4,2.8,5.6,2.1,NULL,128
7.2,3.0,5.8,1.6,NULL,129
7.4,2.8,6.1,1.9,NULL,130
7.9,3.8,6.4,2.0,NULL,131
6.4,2.8,5.6,2.2,NULL,132
6.3,2.8,5.1,1.5,NULL,133
6.1,2.6,5.6,1.4,NULL,134
7.7,3.0,6.1,2.3,NULL,135
6.3,3.4,5.6,2.4,NULL,136
6.4,3.1,5.5,1.8,NULL,137
6.0,3.0,4.8,1.8,NULL,138
6.9,3.1,5.4,2.1,NULL,139
6.7,3.1,5.6,2.4,NULL,140
6.9,3.1,5.1,2.3,NULL,141
5.8,2.7,5.1,1.9,NULL,142
6.8,3.2,5.9,2.3,NULL,143
6.7,3.3,5.7,2.5,NULL,144
6.7,3.0,5.2,2.3,NULL,145
6.3,2.5,5.0,1.9,NULL,146
6.5,3.0,5.2,2.0,NULL,147
6.2,3.4,5.4,2.3,NULL,148
5.9,3.0,5.1,1.8,NULL,149
