sepal_length,sepal_width,petal_length,petal_width,species,id
5.1,3.5,1.4,0.2,,0
4.9,3.0,1.4,0.2,,1
4.7,3.2,1.3,0.2,,2
4.6,3.1,1.5,0.2,,3
5.0,3.6,1.4,0.2,,4
5.4,3.9,1.7,0.4,,5
4.6,3.4,1.4,0.3,,6
5.0,3.4,1.5,0.2,,7
4.4,2.9,1.4,0.2,,8
4.9,3.1,1.5,0.1,,9
5.4,3.7,1.5,0.2,,10
4.8,3.4,1.6,0.2,,11
4.8,3.0,1.4,0.1,,12
4.3,3.0,1.1,0.1,,13
5.8,4.0,1.2,0.2,,14
5.7,4.4,1.5,0.4,,15
5.4,3.9,1.3,0.4,,16
5.1,3.5,1.4,0.3,,17
5.7,3.8,1.7,0.3,,18
5.1,3.8,1.5,0.3,,19
5.4,3.4,1.7,0.2,,20
5.1,3.7,1.5,0.4,,21
4.6,3.6,1.0,0.2,,22
5.1,3.3,1.7,0.5,,23
4.8,3.4,1.9,0.2,,24
5.0,3.0,1.6,0.2,,25
5.0,3.4,1.6,0.4,,26
5.2,3.5,1.5,0.2,,27
5.2,3.4,1.4,0.2,,28
4.7,3.2,1.6,0.2,,29
4.8,3.1,1.6,0.2,,30
5.4,3.4,1.5,0.4,,31
5.2,4.1,1.5,0.1,,32
5.5,4.2,1.4,0.2,,33
4.9,3.1,1.5,0.2,,34
5.0,3.2,1.2,0.2,,35
5.5,3.5,1.3,0.2,,36
4.9,3.6,1.4,0.1,,37
4.4,3.0,1.3,0.2,,38
5.1,3.4,1.5,0.2,,39
5.0,3.5,1.3,0.3,,40
4.5,2.3,1.3,0.3,,41
4.4,3.2,1.3,0.2,,42
5.0,3.5,1.6,0.6,,43
5.1,3.8,1.9,0.4,,44
4.8,3.0,1.4,0.3,,45
5.1,3.8,1.6,0.2,,46
4.6,3.2,1.4,0.2,,47
5.3,3.7,1.5,0.2,,48
5.0,3.3,1.4,0.2,,49
7.0,3.2,4.7,1.4,,50
6.4,3.2,4.5,1.5,,51
6.9,3.1,4.9,1.5,,52
5.5,2.3,4.0,1.3,,53
6.5,2.8,4.6,1.5,,54
5.7,2.8,4.5,1.3,,55
6.3,3.3,4.7,1.6,,56
4.9,2.4,3.3,1.0,,57
6.6,2.9,4.6,1.3,,58
5.2,2.7,3.9,1.4,,59
5.0,2.0,3.5,1.0,,60
5.9,3.0,4.2,1.5,,61
6.0,2.2,4.0,1.0,,62
6.1,2.9,4.7,1.4,,63
5.6,2.9,3.6,1.3,,64
6.7,3.1,4.4,1.4,,65
5.6,3.0,4.5,1.5,,66
5.8,2.7,4.1,1.0,,67
6.2,2.2,4.5,1.5,,68
5.6,2.5,3.9,1.1,,69
5.9,3.2,4.8,1.8,,70
6.1,2.8,4.0,1.3,,71
6.3,2.5,4.9,1.5,,72
6.1,2.8,4.7,1.2,,73
6.4,2.9,4.3,1.3,,74
6.6,3.0,4.4,1.4,,75
6.8,2.8,4.8,1.4,,76
6.7,3.0,5.0,1.7,,77
6.0,2.9,4.5,1.5,,78
5.7,2.6,3.5,1.0,,79
5.5,2.4,3.8,1.1,,80
5.5,2.4,3.7,1.0,,81
5.8,2.7,3.9,1.2,,82
6.0,2.7,5.1,1.6,,83
5.4,3.0,4.5,1.5,,84
6.0,3.4,4.5,1.6,,85
6.7,3.1,4.7,1.5,,86
6.3,2.3,4.4,1.3,,87
5.6,3.0,4.1,1.3,,88
5.5,2.5,4.0,1.3,,89
5.5,2.6,4.4,1.2,,90
6.1,3.0,4.6,1.4,,91
5.8,2.6,4.0,1.2,,92
5.0,2.3,3.3,1.0,,93
5.6,2.7,4.2,1.3,,94
5.7,3.0,4.2,1.2,,95
5.7,2.9,4.2,1.3,,96
6.2,2.9,4.3,1.3,,97
5.1,2.5,3.0,1.1,,98
5.7,2.8,4.1,1.3,,99
6.3,3.3,6.0,2.5,,100
5.8,2.7,5.1,1.9,,101
7.1,3.0,5.9,2.1,,102
6.3,2.9,5.6,1.8,,103
6.5,3.0,5.8,2.2,,104
7.6,3.0,6.6,2.1,,105
4.9,2.5,4.5,1.7,,106
7.3,2.9,6.3,1.8,,107
6.7,2.5,5.8,1.8,,108
7.2,3.6,6.1,2.5,,109
6.5,3.2,5.1,2.0,,110
6.4,2.7,5.3,1.9,,111
6.8,3.0,5.5,2.1,,112
5.7,2.5,5.0,2.0,,113
5.8,2.8,5.1,2.4,,114
6.4,3.2,5.3,2.3,,115
6.5,3.0,5.5,1.8,,116
7.7,3.8,6.7,2.2,,117
7.7,2.6,6.9,2.3,,118
6.0,2.2,5.0,1.5,,119
6.9,3.2,5.7,2.3,,120
5.6,2.8,4.9,2.0,,121
7.7,2.8,6.7,2.0,,122
6.3,2.7,4.9,1.8,,123
6.7,3.3,5.7,2.1,,124
7.2,3.2,6.0,1.8,,125
6.2,2.8,4.8,1.8,,126
6.1,3.0,4.9,1.8,,127
6.4,2.8,5.6,2.1,,128
7.2,3.0,5.8,1.6,,129
7.4,2.8,6.1,1.9,,130
7.9,3.8,6.4,2.0,,131
6.4,2.8,5.6,2.2,,132
6.3,2.8,5.1,1.5,,133
6.1,2.6,5.6,1.4,,134
7.7,3.0,6.1,2.3,,135
6.3,3.4,5.6,2.4,,136
6.4,3.1,5.5,1.8,,137
6.0,3.0,4.8,1.8,,138
6.9,3.1,5.4,2.1,,139
6.7,3.1,5.6,2.4,,140
6.9,3.1,5.1,2.3,,141
5.8,2.7,5.1,1.9,,142
6.8,3.2,5.9,2.3,,143
6.7,3.3,5.7,2.5,,144
6.7,3.0,5.2,2.3,,145
6.3,2.5,5.0,1.9,,146
6.5,3.0,5.2,2.0,,147
6.2,3.4,5.4,2.3,,148
5.9,3.0,5.1,1.8,,149
